stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
6226,47291,115535,25.78,24,29803,17.42,9,31.3
6227,7648,76112,71.93,6,54750,69.2,2,13.49
6228,1846,26000,80.44,5,20917,75.5,3,8.15
6229,30635,40361,36.16,6,14602,32.77,4,25.47
6230,7603,86343,87.81,3,75819,87.81,3,7.18
6231,25868,45652,33.81,11,15444,25.92,5,33.55
6232,36931,451582,18.65,60,84315,13.33,18,18.33
6233,62159,81022,28.47,18,23073,19.13,6,35.83
6234,31515,100386,53.84,20,54068,49.62,13,23.63
6235,61881,199906,40.62,23,81241,36.43,9,29.26
6236,911,41654,92.64,4,38594,87.98,1,1.65
6237,72690,79645,20.23,12,16124,15.66,6,43.65
6239,160441,759147,69.59,178,528447,63.69,103,16.58
6240,1074,22867,82.12,9,18787,70.93,5,4.85
6241,29455,48700,48.95,11,23853,38.71,3,15.79
6242,3199,31806,63.81,7,20301,55.47,3,13.65
6243,58684,45269,23.15,7,10484,17.7,2,44.32
6244,96212,387042,34.72,66,134421,29.06,29,30.09
6245,20535,146608,45.04,25,66076,40.31,13,22.52
6246,32496,37851,62.99,7,23847,53.99,1,12.44
6248,32355,99956,49.26,24,49257,43.97,15,16.93
6249,207,2867,14.82,1,425,0,0,16.21
6250,1162,18249,70.88,2,12937,67.95,1,6.96
6253,453,5879,0,0,0,0,0,15.31
6254,518,30882,49.51,13,15294,36.43,6,3.4
6256,458,1845,0,0,0,0,0,52.68
6257,115640,483912,48.55,143,235014,39.47,70,24.71
6259,9398,28056,44.6,4,12516,41.09,2,22.44
6261,56360,128498,37.4,26,48084,30.98,13,31.83
6262,1345,20453,28.66,5,5866,16.8,1,16.11
6263,11238,62501,43.35,7,27100,40.96,4,26.95
6264,4273,136355,71.66,28,97742,67.28,18,5.75
6265,38664,118172,47.63,17,56297,41.52,6,25.85
6266,45953,153872,38.99,38,60014,31.0,18,19.78
6269,77254,323831,37.4,71,121194,30.13,32,29.06
6270,33834,72146,43.43,18,31350,36.56,10,28.74
6271,61401,209058,50.31,63,105249,41.44,34,28.21
6272,5046,81764,51.47,34,42100,35.75,14,12.77
6274,88808,298806,67.35,97,201270,56.96,50,14.67
6275,36804,80332,28.95,15,23265,23.42,7,35.82
6276,29505,22043,52.47,6,11570,48.9,5,26.83
6277,10399,119471,55.0,39,65734,43.4,17,17.65
6278,41428,292398,65.79,102,192417,54.01,47,18.86
6279,21328,119016,45.12,36,53733,35.61,18,25.13
6280,172,65492,99.95,1,65460,99.95,1,0.04
6281,10450,99173,55.84,37,55399,43.58,17,19.33
6282,157516,856101,48.05,121,411506,44.13,64,27.31
6283,15591,148981,62.76,21,93537,57.6,7,14.22
6284,51475,148980,53.37,22,79545,47.7,8,25.56
6285,95434,483664,64.91,112,314048,58.38,64,19.81
6287,4211,121451,94.0,7,114178,93.08,5,2.42
6289,10250,524,0,0,0,0,0,54.73
6290,53084,169648,45.7,58,77583,34.12,27,28.35
6291,9617,42000,65.35,7,27448,62.85,5,14.76
6292,7373,46601,45.6,7,21258,39.7,3,28.96
6294,12219,26047,37.14,4,9675,33.46,2,31.76
6295,350,1915,22.01,1,422,0,0,20.7
6299,123,25576,98.35,1,25154,98.35,1,0.71
